index,street_name,URL
168,Argyle Passage,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Argyle+Passage&town=London
169,Albion Mews,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Albion+Mews&town=London
170,Ardfern Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ardfern+Avenue&town=London
171,Arthurdon Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arthurdon+Road&town=London
172,Acacia Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Acacia+Avenue&town=London
173,Asplins Villas,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Asplins+Villas&town=London
174,Aldeburgh Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aldeburgh+Street&town=London
175,Abbots Terrace,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbots+Terrace&town=London
176,Ashwater Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashwater+Road&town=London
177,Aberdare Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aberdare+Gardens&town=London
178,Ardent Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ardent+Close&town=London
179,Alice Thompson Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alice+Thompson+Close&town=London
180,Ainger Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ainger+Road&town=London
181,Allison Grove,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Allison+Grove&town=London
182,Alscot Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alscot+Road&town=London
183,Aldriche Way,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aldriche+Way&town=London
184,Amesbury Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Amesbury+Avenue&town=London
185,Abbotshade Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbotshade+Road&town=London
186,Alders Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alders+Close&town=London
