ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
121711,Romney Street,2950000.0,"Westminster, SW1P",5,5,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-romney-street-london-sw1p/121711,Westminster,0.39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146783,Lyons Place,3700000.0,"St John's Wood, NW8",3,3,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-lyons-place-london-nw8/146783,Warwick Avenue,0.37,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141013,Carlingford Road,3500000.0,"Hampstead Village, NW3",5,2,3,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-carlingford-road-london-nw3/141013,Hampstead,0.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149664,Denning Road,3500000.0,"Hampstead Village, NW3",5,3,3,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-denning-road-london-nw3/149664,Hampstead,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151665,The Avenue,3500000.0,"St Margarets, TW1",8,4,5,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-st-margarets-tw1/151665,Richmond,0.87,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151665,The Avenue,3500000.0,"St Margarets, TW1",8,4,5,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-st-margarets-tw1/151665,Richmond,0.87,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151665,The Avenue,3500000.0,"St Margarets, TW1",8,4,5,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-st-margarets-tw1/151665,Richmond,0.87,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160971,The Avenue,2699950.0,"Queens Park, NW6",8,4,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-london-nw6/160971,Brondesbury Park,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160971,The Avenue,2699950.0,"Queens Park, NW6",8,4,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-london-nw6/160971,Brondesbury Park,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160971,The Avenue,2699950.0,"Queens Park, NW6",8,4,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-london-nw6/160971,Brondesbury Park,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
